Movie_Title,Release Year,Review_URL
The Shawshank Redemption,1994,https://www.imdb.com/title/tt0111161/reviews?ref_=tt_urv
The Godfather,1972,https://www.imdb.com/title/tt0068646/reviews?ref_=tt_urv
The Dark Knight,2008,https://www.imdb.com/title/tt0468569/reviews?ref_=tt_urv
The Godfather Part II,1974,https://www.imdb.com/title/tt0071562/reviews?ref_=tt_urv
12 Angry Men,1957,https://www.imdb.com/title/tt0050083/reviews?ref_=tt_urv
Schindler's List,1993,https://www.imdb.com/title/tt0108052/reviews?ref_=tt_urv
The Lord of the Rings: The Return of the King,2003,https://www.imdb.com/title/tt0167260/reviews?ref_=tt_urv
Pulp Fiction,1994,https://www.imdb.com/title/tt0110912/reviews?ref_=tt_urv
The Lord of the Rings: The Fellowship of the Ring,2001,https://www.imdb.com/title/tt0120737/reviews?ref_=tt_urv
"The Good, the Bad and the Ugly",1966,https://www.imdb.com/title/tt0060196/reviews?ref_=tt_urv
Forrest Gump,1994,https://www.imdb.com/title/tt0109830/reviews?ref_=tt_urv
Fight Club,1999,https://www.imdb.com/title/tt0137523/reviews?ref_=tt_urv
The Lord of the Rings: The Two Towers,2002,https://www.imdb.com/title/tt0167261/reviews?ref_=tt_urv
Inception,2010,https://www.imdb.com/title/tt1375666/reviews?ref_=tt_urv
Star Wars: Episode V - The Empire Strikes Back,1980,https://www.imdb.com/title/tt0080684/reviews?ref_=tt_urv
The Matrix,1999,https://www.imdb.com/title/tt0133093/reviews?ref_=tt_urv
Goodfellas,1990,https://www.imdb.com/title/tt0099685/reviews?ref_=tt_urv
One Flew Over the Cuckoo's Nest,1975,https://www.imdb.com/title/tt0073486/reviews?ref_=tt_urv
Se7en,1995,https://www.imdb.com/title/tt0114369/reviews?ref_=tt_urv
Seven Samurai,1954,https://www.imdb.com/title/tt0047478/reviews?ref_=tt_urv
It's a Wonderful Life,1946,https://www.imdb.com/title/tt0038650/reviews?ref_=tt_urv
The Silence of the Lambs,1991,https://www.imdb.com/title/tt0102926/reviews?ref_=tt_urv
Saving Private Ryan,1998,https://www.imdb.com/title/tt0120815/reviews?ref_=tt_urv
City of God,2002,https://www.imdb.com/title/tt0317248/reviews?ref_=tt_urv
Interstellar,2014,https://www.imdb.com/title/tt0816692/reviews?ref_=tt_urv
Life Is Beautiful,1997,https://www.imdb.com/title/tt0118799/reviews?ref_=tt_urv
The Green Mile,1999,https://www.imdb.com/title/tt0120689/reviews?ref_=tt_urv
Star Wars,1977,https://www.imdb.com/title/tt0076759/reviews?ref_=tt_urv
Terminator 2: Judgment Day,1991,https://www.imdb.com/title/tt0103064/reviews?ref_=tt_urv
Back to the Future,1985,https://www.imdb.com/title/tt0088763/reviews?ref_=tt_urv
Spirited Away,2001,https://www.imdb.com/title/tt0245429/reviews?ref_=tt_urv
The Pianist,2002,https://www.imdb.com/title/tt0253474/reviews?ref_=tt_urv
Psycho,1960,https://www.imdb.com/title/tt0054215/reviews?ref_=tt_urv
Parasite,2019,https://www.imdb.com/title/tt6751668/reviews?ref_=tt_urv
Léon: The Professional,1994,https://www.imdb.com/title/tt0110413/reviews?ref_=tt_urv
The Lion King,1994,https://www.imdb.com/title/tt0110357/reviews?ref_=tt_urv
Gladiator,2000,https://www.imdb.com/title/tt0172495/reviews?ref_=tt_urv
American History X,1998,https://www.imdb.com/title/tt0120586/reviews?ref_=tt_urv
The Departed,2006,https://www.imdb.com/title/tt0407887/reviews?ref_=tt_urv
The Prestige,2006,https://www.imdb.com/title/tt0482571/reviews?ref_=tt_urv
Whiplash,2014,https://www.imdb.com/title/tt2582802/reviews?ref_=tt_urv
